                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.60686,                 0.5648,                0.99788,                0.98125,                0.94307,                0.98598,                0.90004,                 0.4586,                0.42491,                0.93171,             0.00095271,             0.00095271,             0.00095271
                    103,                0.59803,                0.59458,                 1.0208,                0.97299,                0.95242,                0.98751,                0.90299,                0.45309,                0.42459,                0.93198,               0.000948,               0.000948,               0.000948
                    104,                0.60346,                0.60038,                 1.0661,                0.95976,                0.95699,                0.98662,                0.89643,                0.44822,                0.41976,                0.93721,             0.00094328,             0.00094328,             0.00094328
                    105,                 0.6052,                0.58127,                 1.0534,                 0.9676,                0.97586,                0.99011,                0.90437,                0.44143,                0.41755,                0.93809,             0.00093857,             0.00093857,             0.00093857
                    106,                0.62024,                0.60599,                 1.0739,                0.96865,                0.97026,                0.99083,                0.91282,                0.42873,                0.41139,                0.93313,             0.00093385,             0.00093385,             0.00093385
                    107,                0.58605,                 0.5681,                  1.026,                0.96913,                0.97133,                0.99159,                0.91652,                0.43366,                0.40729,                0.93442,             0.00092914,             0.00092914,             0.00092914
                    108,                0.60493,                0.60479,                 1.0548,                0.99106,                 0.9602,                 0.9909,                0.91618,                0.44737,                0.40382,                0.94048,             0.00092442,             0.00092442,             0.00092442
                    109,                 0.5913,                 0.5666,                 1.0462,                  0.984,                 0.9564,                0.99051,                0.91448,                0.44721,                0.40528,                0.94542,              0.0009197,              0.0009197,              0.0009197
                    110,                0.59789,                0.57976,                 1.0459,                0.95374,                0.99642,                0.99101,                0.91126,                0.43574,                  0.398,                0.93738,             0.00091499,             0.00091499,             0.00091499
                    111,                0.56749,                0.57619,                 1.0396,                0.96806,                0.98208,                0.99259,                0.90952,                0.43943,                0.40533,                0.93317,             0.00091027,             0.00091027,             0.00091027
                    112,                0.63849,                 0.6009,                 1.0637,                0.95906,                0.97991,                0.98941,                0.90327,                0.45073,                0.41589,                0.93352,             0.00090556,             0.00090556,             0.00090556
                    113,                0.55938,                0.54617,                 1.0139,                  0.961,                0.97491,                0.99065,                0.90607,                0.44413,                0.41419,                0.93509,             0.00090084,             0.00090084,             0.00090084
                    114,                0.60621,                0.58227,                 1.0362,                0.95416,                0.97536,                0.99024,                 0.9123,                0.44527,                0.41133,                 0.9319,             0.00089613,             0.00089613,             0.00089613
                    115,                0.65444,                0.59058,                 1.0944,                0.96955,                0.96416,                0.99041,                0.91674,                0.44069,                0.40774,                0.92786,             0.00089141,             0.00089141,             0.00089141
                    116,                0.63819,                0.60303,                 1.0327,                0.96277,                0.97849,                0.99048,                 0.9149,                0.42994,                0.40186,                0.92096,             0.00088669,             0.00088669,             0.00088669
                    117,                0.60588,                0.58393,                 1.0011,                0.96172,                0.97849,                0.98981,                0.91496,                 0.4131,                0.40606,                 0.9177,             0.00088198,             0.00088198,             0.00088198
                    118,                0.60223,                0.57048,                 1.0329,                0.95916,                0.98847,                0.98944,                0.91894,                0.41248,                 0.4002,                0.91586,             0.00087726,             0.00087726,             0.00087726
                    119,                0.56525,                0.54007,                 1.0023,                 0.9642,                0.98208,                0.99015,                 0.9198,                0.41909,                0.39917,                 0.9193,             0.00087255,             0.00087255,             0.00087255
                    120,                0.55841,                0.53383,                 1.0096,                0.96996,                 0.9857,                0.99287,                0.92712,                0.40528,                0.38508,                0.91339,             0.00086783,             0.00086783,             0.00086783
                    121,                0.59507,                0.57641,                 1.0608,                0.97887,                0.98208,                0.99357,                0.93041,                0.40557,                0.38216,                0.91279,             0.00086312,             0.00086312,             0.00086312
                    122,                0.58937,                0.56875,                   1.02,                0.97464,                0.98617,                0.99336,                0.93345,                0.40817,                0.38354,                 0.9143,              0.0008584,              0.0008584,              0.0008584
